,test,secondsTotal.flakerake-obo,failureID-flakerake-obo.uniqueCount,secondsTotal.flakerake,failureID-flakerake.uniqueCount,secondsTotal.isolatedRerun,failureID-isolatedRerun.uniqueCount
,me.prettyprint.cassandra.model.MutatorTest#testInsert,10294.946029186249,1,10262.685186862946,1,762.422000000003,1
,me.prettyprint.cassandra.model.MutatorTest#testRowDeletion,17155.791617631912,1,17289.418835163116,1,846.5680000000009,1
,me.prettyprint.cassandra.model.MutatorTest#testSubDelete,15818.9332613945,1,15778.391916751862,1,818.9150000000026,1
,me.prettyprint.cassandra.service.CassandraAuthTest#testInsertAndGetAndRemove,28720.61979818344,1,28493.47004199028,1,3023.1109999999826,1
,me.prettyprint.cassandra.service.KeyspaceTest#testBatchMutate,26017.342827558517,1,26342.190438985825,1,2095.4279999999985,1
,me.prettyprint.cassandra.service.KeyspaceTest#testBatchMutateBatchMutation,26396.640989780426,1,26480.73016810417,1,2098.7269999999953,1
,me.prettyprint.cassandra.service.KeyspaceTest#testBatchUpdateInsertAndDelOnSame,27271.66477203369,1,27264.018532514572,1,1639.2779999999905,1
,me.prettyprint.cassandra.service.KeyspaceTest#testGetSlice,20786.71487379074,1,20702.71360683441,1,1312.3369999999918,1
,me.prettyprint.cassandra.service.KeyspaceTest#testGetSuperSlice,20301.073576688766,1,20070.4170794487,1,1712.8319999999992,1
,me.prettyprint.cassandra.service.KeyspaceTest#testInsertAndGetAndRemove,28341.600935935974,1,28366.81199669838,1,2565.4459999999926,1
,me.prettyprint.cassandra.service.KeyspaceTest#testInsertSuper,13273.227674722672,1,13135.007436037064,1,749.4340000000028,1
,me.prettyprint.cassandra.service.KeyspaceTest#testMultigetCount,21254.881835222244,1,21196.992195367813,1,1809.893000000007,1
,me.prettyprint.cassandra.service.KeyspaceTest#testMultigetSlice,21193.260663986206,1,20962.792437314987,1,1788.7409999999995,1
,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest#testTimeUUIDWithClockResolution,385.0766444206238,1,389.5658836364746,1,62.904000000001815,1
,me.prettyprint.hector.api.ApiV2SystemTest#testBatchInsertGetRemove,24135.010629177094,1,24354.372284173965,1,926.1130000000138,1
,me.prettyprint.hector.api.ApiV2SystemTest#testCountQuery,14483.483372688293,1,14430.88907790184,1,851.2060000000038,1
