sleepyline.cause,sleepyline
java/lang/System.currentTimeMillis()J,org/apache/hadoop/hbase/ipc/HBaseRPC$Server:call:576
java/lang/System.currentTimeMillis()J,org/apache/hadoop/hbase/ipc/HBaseRPC$Server:call:578
java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,org/apache/hadoop/hbase/ipc/HBaseServer$Handler:run:946
java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,org/apache/hadoop/hbase/ipc/HBaseServer$Handler:run:947
java/util/concurrent/DelayQueue.clear()V,org/apache/hadoop/hbase/master/RegionServerOperationQueue:shutdown:199
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/apache/hadoop/hbase/master/HMaster:isClosed:382
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/apache/hadoop/hbase/master/ServerManager:regionServerReport:273
java/util/concurrent/atomic/AtomicInteger.get()I,org/apache/hadoop/hbase/master/ServerManager:regionServerReport:273
java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,org/apache/hadoop/hbase/ipc/HBaseServer$Handler:run:906
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/apache/hadoop/hbase/master/ServerManager:regionServerReport:272
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/apache/hadoop/hbase/master/HMaster:startShutdown:633
java/util/concurrent/atomic/AtomicInteger.get()I,org/apache/hadoop/hbase/master/ServerManager:regionServerReport:274
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/apache/hadoop/hbase/master/ServerManager:regionServerReport:270
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/apache/hadoop/hbase/master/HMaster:isClosed:383
java/lang/Object.notifyAll()V,org/apache/hadoop/hbase/master/ServerManager:notifyServers:779
java/lang/System.currentTimeMillis()J,org/apache/hadoop/hbase/ipc/HBaseRPC$Server:call:575
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/apache/hadoop/hbase/master/ServerManager:regionServerReport:269
java/lang/Object.notifyAll()V,org/apache/hadoop/hbase/master/ServerManager:notifyServers:780
java/lang/System.currentTimeMillis()J,org/apache/hadoop/hbase/ipc/HBaseRPC$Server:call:577
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/apache/hadoop/hbase/master/HMaster:startShutdown:634
java/lang/Thread.sleep(J)V,org/apache/hadoop/hdfs/server/datanode/DataBlockScanner:run:594
