method,sleepyline.cause,configIdx,test
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.set(Ljava/lang/Object;Ljava/lang/Object;)V,39,39
BIS,java/util/concurrent/locks/Condition.await()V,1,1
BIS,java/util/concurrent/locks/Condition.await(JLjava/util/concurrent/TimeUnit;)Z,12,12
BIS,java/util/concurrent/locks/Condition.signal()V,12,12
BIS,java/util/concurrent/locks/Condition.signalAll()V,1,1
BIS,java/util/concurrent/locks/Lock.lock()V,144,144
BIS,java/util/concurrent/locks/Lock.newCondition()Ljava/util/concurrent/locks/Condition;,12,12
BIS,java/util/concurrent/locks/Lock.unlock()V,115,115
BIS,java/util/concurrent/locks/LockSupport.park(Ljava/lang/Object;)V,3,3
BIS,java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,33,33
BIS,java/util/concurrent/locks/ReentrantLock.lock()V,54,54
BIS,java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,5,5
BIS,java/util/concurrent/locks/ReentrantLock.tryLock()Z,7,7
BIS,java/util/concurrent/locks/ReentrantLock.unlock()V,54,54
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.lock()V,141,141
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.unlock()V,137,137
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,199,199
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,197,197
BIS,javax/net/SocketFactory.createSocket()Ljava/net/Socket;,18,18
BIS,javax/net/SocketFactory.createSocket(Ljava/net/InetAddress;I)Ljava/net/Socket;,1,1
OBO,MONITORENTER,1510,1510
OBO,MONITOREXIT,1532,1532
OBO,RUNNABLE_CALLABLE_START,1074,1074
OBO,SYNCHRONIZED_METHOD_ENTER,1158,1158
OBO,SYNCHRONIZED_METHOD_EXIT,1177,1177
OBO,java/io/OutputStream.close()V,66,66
OBO,java/io/OutputStream.flush()V,241,241
OBO,java/lang/Object.notify()V,57,57
OBO,java/lang/Object.notifyAll()V,230,230
OBO,java/lang/Object.wait()V,59,59
OBO,java/lang/Object.wait(J)V,78,78
OBO,java/lang/Object.wait(JI)V,4,4
OBO,java/lang/Runnable.run()V,280,280
OBO,java/lang/System.currentTimeMillis()J,1282,1282
OBO,java/lang/Thread.currentThread()Ljava/lang/Thread;,899,899
OBO,java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,85,85
OBO,java/lang/Thread.getId()J,5,5
OBO,java/lang/Thread.getName()Ljava/lang/String;,156,156
OBO,java/lang/Thread.getPriority()I,8,8
OBO,java/lang/Thread.getState()Ljava/lang/Thread$State;,2,2
OBO,java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,17,17
OBO,java/lang/Thread.interrupt()V,90,90
OBO,java/lang/Thread.interrupted()Z,67,67
OBO,java/lang/Thread.isAlive()Z,12,12
OBO,java/lang/Thread.isDaemon()Z,8,8
OBO,java/lang/Thread.isInterrupted()Z,1,1
OBO,java/lang/Thread.join()V,16,16
OBO,java/lang/Thread.join(J)V,30,30
OBO,java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,15,15
OBO,java/lang/Thread.setDaemon(Z)V,69,69
OBO,java/lang/Thread.setDefaultUncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V,2,2
OBO,java/lang/Thread.setName(Ljava/lang/String;)V,169,169
OBO,java/lang/Thread.setPriority(I)V,19,19
OBO,java/lang/Thread.sleep(J)V,77,77
OBO,java/lang/Thread.start()V,98,98
OBO,java/lang/Thread.stop()V,5,5
OBO,java/lang/Thread.yield()V,13,13
OBO,java/net/ServerSocket.accept()Ljava/net/Socket;,20,20
OBO,java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,23,23
OBO,java/net/ServerSocket.close()V,10,10
OBO,java/net/ServerSocket.isBound()Z,2,2
OBO,java/net/ServerSocket.isClosed()Z,10,10
OBO,java/net/Socket.connect(Ljava/net/SocketAddress;I)V,32,32
OBO,java/nio/Buffer.limit(I)Ljava/nio/Buffer;,16,16
OBO,java/nio/Buffer.position(I)Ljava/nio/Buffer;,19,19
OBO,java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,255,255
OBO,java/nio/ByteBuffer.allocateDirect(I)Ljava/nio/ByteBuffer;,35,35
OBO,java/nio/ByteBuffer.array()[B,258,258
OBO,java/nio/ByteBuffer.arrayOffset()I,18,18
OBO,java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,1,1
OBO,java/nio/ByteBuffer.compact()Ljava/nio/ByteBuffer;,10,10
OBO,java/nio/ByteBuffer.duplicate()Ljava/nio/ByteBuffer;,31,31
OBO,java/nio/ByteBuffer.get()B,166,166
OBO,java/nio/ByteBuffer.get(I)B,37,37
OBO,java/nio/ByteBuffer.get([B)Ljava/nio/ByteBuffer;,14,14
OBO,java/nio/ByteBuffer.get([BII)Ljava/nio/ByteBuffer;,81,81
OBO,java/nio/ByteBuffer.getInt()I,50,50
OBO,java/nio/ByteBuffer.getInt(I)I,85,85
OBO,java/nio/ByteBuffer.getLong()J,1,1
OBO,java/nio/ByteBuffer.getShort()S,12,12
OBO,java/nio/ByteBuffer.hasArray()Z,10,10
OBO,java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,6,6
OBO,java/nio/ByteBuffer.order(Ljava/nio/ByteOrder;)Ljava/nio/ByteBuffer;,6,6
OBO,java/nio/ByteBuffer.put(B)Ljava/nio/ByteBuffer;,156,156
OBO,java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,31,31
OBO,java/nio/ByteBuffer.put([B)Ljava/nio/ByteBuffer;,77,77
OBO,java/nio/ByteBuffer.put([BII)Ljava/nio/ByteBuffer;,55,55
OBO,java/nio/ByteBuffer.putInt(I)Ljava/nio/ByteBuffer;,77,77
OBO,java/nio/ByteBuffer.putLong(J)Ljava/nio/ByteBuffer;,2,2
OBO,java/nio/ByteBuffer.putShort(S)Ljava/nio/ByteBuffer;,12,12
OBO,java/nio/ByteBuffer.slice()Ljava/nio/ByteBuffer;,26,26
OBO,java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,128,128
